Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;P_PER_VP;Valor_de_Mercado;Liquidez;Qtd_de_imoveis;Preco_do_m2;Aluguel_por_m2;Cap_Rate_PERC;Vacancia_Media
AAZQ11;Títulos e Val. Mob.;7,28;0,2068;0,1777;0,77;174.991.000;1.277.340;0;0;0;0;0
ABCP11;Shoppings;68,14;0,1008;0,0917;0,67;320.877.000;56.316;1;4.484,56;567,65;0,1266;0,0244
AFHI11;Títulos e Val. Mob.;97,44;0,0974;0,1148;1,01;389.463.000;1.478.610;0;0;0;0;0
AGRX11;Híbrido;9,76;0,1377;0,1536;0,97;174.735.000;292.468;0;0;0;0;0
AIEC11;Lajes Corporativas;53;0,1908;0,1773;0,63;255.724.000;339.308;2;10.672,90;2.098,55;0,1966;0
AJFI11;Títulos e Val. Mob.;8,22;0,0454;0,0594;0,66;259.966.000;838.430;0;0;0;0,0365;0
ALMI11;Lajes Corporativas;617,25;0,05;0,0101;0,28;68.624.000;22.307;1;3.821.090,00;547.722,35;0,1433;0,545
ALZC11;Títulos e Val. Mob.;97;0,1454;0,036;0,96;37.772.700;41.071;0;0;0;0;0
ALZM11;Títulos e Val. Mob.;8,02;0,0722;0,121;0,96;121.748.000;196.437;0;0;0;0;0
ALZR11;Híbrido;108,52;0,0762;0,0833;1,02;1.166.540.000;2.209.660;14;5.302,32;410,01;0,0773;0
ANCR11;Shoppings;65;4,6173;0,0147;0,02;43.444.400;3;5;149,48;1.304,06;8,7237;0,0442
APTO11;Híbrido;9,54;0,1082;0,1095;0,94;44.000.600;24.069;4;17.627,90;1.193,43;0,0677;0
APXM11;Híbrido;99,99;0,0709;0,0575;1,04;175.982.000;115.523;1;1.735,14;119,17;0,0687;0,1049
AROA11;Outros;1,03;0,0551;0,0401;1,04;175.135.000;5.112;6;3.806,21;244,92;0,0643;0
ARRI11;Títulos e Val. Mob.;9,05;0,079;0,1234;1,03;138.776.000;447.885;0;0;0;0;0
ARXD11;Títulos e Val. Mob.;98,31;0,0792;0,118;1;64.382.700;32.946;0;0;0;0;0
ASMT11;Híbrido;39,51;0,0667;0;0,44;42.720.500;8.904;3;3.680,89;751,73;0,2042;0
ASRF11;Híbrido;10.840,80;-0,0019;0;1,11;31.893.600;101.492;2;4.295,15;0;0;0
ATSA11;Shoppings;55,59;-0,0007;0,0128;0,73;97.345.900;181;1;2.858,45;13,19;0,0046;0,1712
AURB11;Logística;85,62;0,0306;0;1,07;76.640.000;76;2;2.247,02;129,15;0,0575;0,5082
BARI11;Títulos e Val. Mob.;80,55;0,1013;0,1031;0,87;373.284.000;701.792;1;0;0;0;0
BBFI11;Lajes Corporativas;677,02;0,648;0,366;0,3;88.012.600;422.452;3;877,4;705,29;0,8038;0,465
BBFO11;Títulos e Val. Mob.;70,99;0,1701;0,1034;0,88;284.237.000;410.987;0;0;0;0;0
